,peak_number,ra_peak,dec_peak,best_assoc,ra_assoc,dec_assoc,z_assoc,dist_assoc,err_dist,n_05,quality
0,1,21.50166852057842,-1.4285714285714306,Abell 194,21.42,21.42,0.018,75.07,75.07,65,I
1,2,54.938820912124584,-18.471177944862156,RXC J0340.1-1835,55.0475,55.0475,0.0057,23.41,23.41,45,I
2,3,18.49833147942158,-31.704260651629077,Abell S141,18.475833,18.475833,0.02,84.8,84.8,41,I
3,4,9.888765294771972,3.1829573934837043,NGC 199,9.888208,9.888208,0.01535,62.81,62.81,39,II
4,5,17.49721913236931,-45.93984962406015,Abell 2877,17.501667,17.501667,0.0247,106.41,106.41,39,I
5,6,53.93770856507231,-35.31328320802005,Abell S373,54.61625,54.61625,0.0046,18.97,18.97,32,I
6,7,21.50166852057842,1.9799498746867101,RXC J0125.5+0145,21.374583,21.374583,0.01739,72.32,72.32,34,I
7,8,55.339265850945495,-35.51378446115288,Abell S373,54.61625,54.61625,0.0046,18.97,18.97,27,I
8,9,16.896551724137936,-46.74185463659148,Abell 2870,16.929944,16.929944,0.0237,102.03,102.03,30,I
9,10,46.12903225806453,-12.05513784461153,NGC 1200,45.977,45.977,0.0135,57.03,57.03,30,II
10,11,39.52169076751947,2.1804511278195378,2Mass 200052,39.6552,39.6552,-1.0,-1.0,-1.0,28,II
11,12,66.55172413793105,-62.78195488721805,No association,-1.0,-1.0,-1.0,-1.0,-1.0,25,III
12,13,9.888765294771972,-55.96491228070175,Abell 2806,10.027083,10.027083,0.0277,120.23,120.23,29,II
13,14,14.093437152391544,-1.228070175438603,Abell 119,14.07625,14.07625,0.0442,190.58,190.58,28,I
14,15,-59.988876529477196,-55.363408521303256,No association,-1.0,-1.0,-1.0,-1.0,-1.0,26,I
15,16,-28.35372636262514,-50.150375939849624,Abell S989,-28.521624999999972,-28.521624999999972,0.00975,40.28,40.28,25,II
16,17,15.49499443826474,-6.842105263157897,2Mass 200153,15.4844,15.4844,-1.0,-1.0,-1.0,22,I
17,18,87.17463848720803,-25.48872180451128,RXC J0548.6-2527,87.165,87.165,0.03947,175.61,175.61,25,I
18,19,54.938820912124584,-22.882205513784463,NGC 1401,54.841042,54.841042,0.00499,20.34,20.34,26,II
19,20,73.95995550611792,-18.270676691729328,RXC J0454.8-1806,73.709583,73.709583,0.03346,147.75,147.75,24,II
20,21,42.32480533926585,-31.10275689223058,Abell S301,42.40375,42.40375,0.0223,96.24,96.24,21,I
21,22,-42.96996662958843,-47.142857142857146,Abell S924,-43.02685500000001,-43.02685500000001,0.0162,68.93,68.93,20,I
22,23,67.15239154616242,-53.75939849624061,Abell S463,67.2825,67.2825,0.0394,174.16,174.16,22,I
23,24,43.92658509454951,-14.260651629072683,No association,-1.0,-1.0,-1.0,-1.0,-1.0,21,III
24,25,-47.17463848720801,-52.75689223057644,Abell 3716,-47.180386,-47.180386,0.0462,202.12,202.12,24,I
25,26,43.325917686318135,-1.228070175438603,RXC J0252.8-0116,43.216296,43.216296,0.02313,99.2,99.2,20,I
26,27,21.30144605116797,-38.1203007518797,Abell 2911,21.519167,21.519167,0.0808,354.11,354.11,16,II
27,28,47.93103448275863,-10.651629072681708,2Mass 200462,47.746,47.746,-1.0,-1.0,-1.0,18,II
28,29,13.893214682981096,-52.75689223057644,2Mass 200104,14.2444,14.2444,-1.0,-1.0,-1.0,21,III
29,30,2.480533926585096,-56.96741854636592,Abell 2731,2.548852,2.548852,0.0312,135.65,135.65,17,I
30,31,30.111234705228043,-25.087719298245617,Abell 2964,30.275154,30.275154,0.0144,60.31,60.31,18,II
31,32,46.52947719688544,-9.649122807017548,NGC 1208,46.549625,46.549625,0.01453,61.56,61.56,18,II
32,33,15.895439377085651,-0.6265664160401059,2Mass 200530,16.2053,16.2053,-1.0,-1.0,-1.0,17,III
33,34,18.698553948832043,0.17543859649121885,Abell 168,18.8,18.8,0.045,194.31,194.31,16,I
34,35,-55.58398220244716,-52.957393483709275,Abell S861,-55.31,-55.31,0.0504,220.99,220.99,16,II
35,36,-50.978865406006676,-49.3483709273183,No association,-1.0,-1.0,-1.0,-1.0,-1.0,18,I
36,37,54.738598442714135,-54.962406015037594,Abell S377,55.186208,55.186208,0.0425,187.27,187.27,24,II
37,38,85.57285873192436,-25.88972431077694,RXC J0542.1-2607,85.53875,85.53875,0.0429,190.62,190.62,16,II
38,39,67.35261401557287,-61.37844611528822,Abell 3266,67.850417,67.850417,0.0589,260.57,260.57,18,II
39,40,23.50389321468299,-36.51629072681705,2Mass 200185,23.573,23.573,-1.0,-1.0,-1.0,18,II
40,41,-45.37263626251391,-48.54636591478697,NGC 6987,-45.45683300000002,-45.45683300000002,0.01748,74.77,74.77,16,I
41,42,-40.96774193548387,-42.330827067669176,2Mass 200476,-40.7727,-40.7727,-1.0,-1.0,-1.0,14,II
42,43,-5.32814238042269,-47.54385964912281,No association,-1.0,-1.0,-1.0,-1.0,-1.0,17,III
43,44,-11.33481646273637,-2.0300751879699277,2Mass 200078,-11.2336,-11.2336,-1.0,-1.0,-1.0,19,II
44,45,31.913236929922135,2.1804511278195378,No association,-1.0,-1.0,-1.0,-1.0,-1.0,14,III
45,46,90.37819799777532,-39.92481203007519,Abell 3376,90.440417,90.440417,0.0456,202.95,202.95,17,I
46,47,10.689655172413794,-1.8295739348371,NGC 227,10.653458,10.653458,0.01767,73.15,73.15,17,III
47,48,45.728587319243616,-15.86466165413534,No association,-1.0,-1.0,-1.0,-1.0,-1.0,14,III
48,49,37.319243604004456,-42.93233082706767,2Mass 200194,37.4553,37.4553,-1.0,-1.0,-1.0,15,II
49,50,17.296996662958847,-15.86466165413534,RXC J0108.9-1537,17.23,17.23,0.0981,429.38,429.38,16,II
50,51,89.37708565072305,-38.1203007518797,No association,-1.0,-1.0,-1.0,-1.0,-1.0,18,I
51,52,32.1134593993326,-7.844611528822057,NGC 829,32.176575,32.176575,0.01353,56.05,56.05,17,II
52,53,40.52280311457176,-8.245614035087726,NGC 1069,40.749254,40.749254,0.03182,137.54,137.54,15,II
53,54,69.75528364849833,-62.581453634085214,No association,-1.0,-1.0,-1.0,-1.0,-1.0,16,I
54,55,79.76640711902115,-61.177944862155385,Abell S524,80.0894,80.0894,-1.0,-1.0,-1.0,14,II
55,56,-56.7853170189099,-56.96741854636592,Abell 3667,-56.87291699999997,-56.87291699999997,0.0556,244.3,244.3,16,II
56,57,27.908787541713025,-8.446115288220554,NGC 707,27.862913,27.862913,0.01827,76.75,76.75,17,I
57,58,42.32480533926585,-0.8270676691729335,No association,-1.0,-1.0,-1.0,-1.0,-1.0,15,III
58,59,66.7519466073415,-42.73182957393484,2Mass 200531,66.8742,66.8742,-1.0,-1.0,-1.0,17,II
59,60,-3.1256952169076726,-2.2305764411027553,RXC J2347.4-0218,-3.1544119999999793,-3.1544119999999793,0.0218,91.06,91.06,13,I
60,61,37.91991101223583,-17.468671679197996,Abell S273,37.86128,37.86128,0.03188,137.85,137.85,16,II
61,62,24.30478309232481,-9.248120300751886,RXC J0137.2-0912,24.314167,24.314167,0.0392,169.12,169.12,16,I
62,63,75.36151279199112,-22.681704260651628,Abell 533,75.378314,75.378314,0.0467,206.52,206.52,16,I
63,64,28.509454949944384,-14.060150375939855,RXC J1052.9-1345,28.252077,28.252077,0.00582,21.87,21.87,13,II
64,65,45.32814238042269,-10.852130325814542,2Mass 200145,45.2192,45.2192,-1.0,-1.0,-1.0,15,I
65,66,51.334816462736384,-36.91729323308271,NGC 1316,50.673825,50.673825,0.00587,24.38,24.38,17,II
66,67,85.17241379310346,-40.526315789473685,Abell S540,85.02625,85.02625,0.0358,159.23,159.23,14,III
67,68,-16.94104560622914,1.1779448621553854,NGC 7396,-16.90568300000001,-16.90568300000001,0.01656,67.8,67.8,18,II
68,69,34.71635150166853,-6.842105263157897,NGC 883,34.771583,34.771583,0.01816,76.66,76.66,14,II
69,70,42.72525027808676,-34.91228070175439,No association,-1.0,-1.0,-1.0,-1.0,-1.0,12,I
70,71,19.098998887652954,-1.228070175438603,No association,-1.0,-1.0,-1.0,-1.0,-1.0,16,I
71,72,-40.76751946607341,-48.34586466165413,NGC 7041,-40.86508300000003,-40.86508300000003,0.00649,26.04,26.04,14,II
72,73,41.12347052280312,-17.468671679197996,NGC 1091,41.343458,41.343458,0.02942,127.18,127.18,14,II
73,74,81.3681868743048,-31.704260651629077,Abell 3341,81.386667,81.386667,0.0379,168.2,168.2,14,I
74,75,17.49721913236931,-6.040100250626573,No association,-1.0,-1.0,-1.0,-1.0,-1.0,14,I
